File name,SAMN06465201,SAMN06465179,SAMN06465197,SAMN06465194,SAMN06465190,SAMN06465187,SAMN06465183,SAMN06465181,SAMN06465177,SAMN06465174,SAMN06465172,SAMN06465170,SAMN06465168,SAMN06465165,SAMN06465163,SAMN06465160,SAMN06465157,SAMN06465155,SAMN06465152,SAMN06465150,SAMN06465148,SAMN06465146,SAMN06465144,SAMN06465142,SAMN06465276,SAMN06465275,SAMN06465273,SAMN06465272,SAMN06465270,SAMN06465269,SAMN06465268,SAMN06465267
Merged,Col.0...4.day...Ground.Control,Col.0...4.day...Ground.Control,Col.0...4.day...Ground.Control,Col.0...4.day...Ground.Control,Col.0...4.day...Space.Flight,Col.0...4.day...Space.Flight,Col.0...4.day...Space.Flight,Col.0...4.day...Space.Flight,WS...4.day...Ground.Control,WS...4.day...Ground.Control,WS...4.day...Ground.Control,WS...4.day...Ground.Control,WS...4.day...Space.Flight,WS...4.day...Space.Flight,WS...4.day...Space.Flight,WS...4.day...Space.Flight,Col.0...8.day...Ground.Control,Col.0...8.day...Ground.Control,Col.0...8.day...Ground.Control,Col.0...8.day...Ground.Control,Col.0...8.day...Space.Flight,Col.0...8.day...Space.Flight,Col.0...8.day...Space.Flight,Col.0...8.day...Space.Flight,WS...8.day...Ground.Control,WS...8.day...Ground.Control,WS...8.day...Ground.Control,WS...8.day...Ground.Control,WS...8.day...Space.Flight,WS...8.day...Space.Flight,WS...8.day...Space.Flight,WS...8.day...Space.Flight
Genotype,Col,Col,Col,Col,Col,Col,Col,Col,WS,WS,WS,WS,WS,WS,WS,WS,Col,Col,Col,Col,Col,Col,Col,Col,WS,WS,WS,WS,WS,WS,WS,WS
Age (Day),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Treatment,GroundControl,GroundControl,GroundControl,GroundControl,SpaceFlight,SpaceFlight,SpaceFlight,SpaceFlight,GroundControl,GroundControl,GroundControl,GroundControl,SpaceFlight,SpaceFlight,SpaceFlight,SpaceFlight,GroundControl,GroundControl,GroundControl,GroundControl,SpaceFlight,SpaceFlight,SpaceFlight,SpaceFlight,GroundControl,GroundControl,GroundControl,GroundControl,SpaceFlight,SpaceFlight,SpaceFlight,SpaceFlight
