"","","Cluster","SAMN06465201","SAMN06465179","SAMN06465197","SAMN06465194","SAMN06465190","SAMN06465187","SAMN06465183","SAMN06465181","SAMN06465177","SAMN06465174","SAMN06465172","SAMN06465170","SAMN06465168","SAMN06465165","SAMN06465163","SAMN06465160","SAMN06465157","SAMN06465155","SAMN06465152","SAMN06465150","SAMN06465148","SAMN06465146","SAMN06465144","SAMN06465142","SAMN06465276","SAMN06465275","SAMN06465273","SAMN06465272","SAMN06465270","SAMN06465269","SAMN06465268","SAMN06465267"
"AT2G05914","","A","-5.23752528727028","-5.23752528727028","-5.23752528727028","-5.23752528727028","-3.66536610600633","-4.97378824698362","-4.00754960443552","-5.23752528727028","4.51893753226283","5.38266653083829","5.32900245406896","5.2939341682912","4.87737756282873","5.08761095150112","5.19776762464806","5.14377263603048","-5.23752528727028","-5.23752528727028","-5.0176596001161","-5.23752528727028","-5.01699649094265","-5.23752528727028","-5.23752528727028","-5.23752528727028","5.06604105877964","4.98663249267713","4.8971558153577","5.17180874693806","4.90153204931057","4.90234321363787","4.96651140309854","4.57104396818811"
"AT2G15555","","A","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","4.38909897790305","5.87123601637976","5.37271211708623","5.10367022929818","4.69146334911967","5.0965130274619","5.04542541529562","5.19922640705007","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","-4.88186473584548","4.56969918311636","4.62124803941626","4.51593591357401","4.72958604491285","4.79747812670301","4.64457916401474","4.79825144099663","4.66371232119931"
"AT4G15242","","A","-3.88700863649806","-3.88700863649806","-3.88700863649806","-3.88700863649806","-3.88700863649806","-3.88700863649806","-3.88700863649806","-3.88700863649806","3.33179360345745","4.91301180189951","4.20664434506848","3.89794513042761","3.96224026092843","3.84156986496317","4.20140791065541","4.32389418304741","-3.88700863649806","-3.88700863649806","-3.88700863649806","-3.88700863649806","-3.66647984017044","-3.88700863649806","-3.88700863649806","-3.88700863649806","3.65022161938032","3.51030990417951","3.54504453633403","3.82672276636691","3.70914838662832","3.53765216162597","3.88859819629204","3.62540471638683"
"AT1G19550","","A","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.19844841958088","2.5094152903006","3.96148313390036","3.04908864872216","3.63911989995934","1.61335678218926","3.19193209406786","3.84623808581568","2.74931669324851","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.59670827946942","-3.59670827946942","4.76351430741386","4.52458465008945","4.2793460172008","4.53961707993277","3.64486780821906","3.79329911050022","3.70237495871047","3.34151805135178"
"AT1G12340","","A","-3.58403227074514","-3.58403227074514","-3.58403227074514","-3.58403227074514","-3.58403227074514","-3.58403227074514","-3.58403227074514","-3.58403227074514","3.61041366867716","3.44180800487952","3.45089551565414","3.32823409837481","3.14079423097917","3.41297077993819","3.53072329733203","3.55113941971178","-3.02869882174153","-3.2795118714384","-3.36416658359096","-3.58403227074514","-3.36350347441751","-3.58403227074514","-3.58403227074514","-3.31342396013637","3.73476175406558","3.63037646891789","3.58264328723479","3.50401606444675","3.55595324088811","3.70510470510072","3.18941073732255","3.40441441599811"
"AT3G02910","","A","1.36515152742923","1.97876755579077","5.3915254513552","-3.85806040844993","-3.53996139300202","2.02872205850665","0.452194272354456","2.99703418617348","2.88878664244363","4.69367048891574","4.37521059851881","3.610259222018","2.67606820784779","4.16114803558258","4.56240909428192","4.27410192146345","-3.85806040844993","-3.85806040844993","-3.85806040844993","-3.85806040844993","-3.85806040844993","-3.85806040844993","-3.85806040844993","-3.85806040844993","2.09373795409736","-3.85806040844993","-2.47907552279145","0.201068856958167","-3.85806040844993","1.91512531945529","2.6507804240001","-3.85806040844993"
"AT4G19240","","A","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","2.87863135612","3.8342430690183","3.67938132631489","3.55879576474852","3.72055043341874","3.34092027300726","3.34010268308352","3.60883840910497","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","-3.44772010053002","3.69528447283487","3.47003691412038","3.59524959933321","3.87527977218408","3.12006215400978","3.14621033702184","3.30809720240168","2.99183784175826"
"AT3G60950","","A","-1.98420519058985","-3.29747881696324","-3.54202862527991","-3.54202862527991","-3.54202862527991","-3.54202862527991","-1.46153711404819","-3.54202862527991","3.71386231834444","3.39798665629656","2.92718904296684","3.01824775422436","3.31091131513805","3.44632565815124","3.62128952633759","3.31765583039316","-3.54202862527991","-3.54202862527991","-3.54202862527991","-3.54202862527991","-3.54202862527991","-3.54202862527991","-3.27144829069244","-3.54202862527991","2.43620624241733","2.99352026793242","3.2269176191548","2.92840995420351","3.55892649822565","3.64539400339002","3.15958149493332","3.81658873354331"
"AT4G39840","","A","1.45937374880622","1.36173040845304","1.81206597744367","1.56441968852906","1.79602193994662","1.79393811483349","1.8616773579985","1.75592704816019","1.28173267992946","-6.8981628951195","1.70236601752629","1.87799088909462","2.12974231127932","-6.8981628951195","2.07581278325462","1.62681648475614","1.62508810246617","1.46512292755907","1.65711924905122","-6.8981628951195","1.68868763889031","-6.6546556594988","1.5092185981586","-6.8981628951195","1.05216185209741","0.949952757833042","0.940545959358579","1.20331214613225","1.83704364939937","-6.8981628951195","1.94763309365657","1.16996871048251"
"AT1G68250","","A","-1.07201904132542","-1.3283163919466","-1.3283163919466","-0.631961946675971","-1.3283163919466","-0.841685258001183","-1.3283163919466","-0.362069082183694","-1.3283163919466","-0.576255290563722","1.94247385323198","-0.243179173522076","11.8772514988683","-0.861840604654214","1.59190703883356","12.3936594618448","-1.02409260918302","-0.772484513778794","-0.917703585847406","-0.280099341500031","-1.10778759561897","-1.3283163919466","-1.3283163919466","-1.3283163919466","-1.3283163919466","-0.707541670667132","-1.3283163919466","-0.870899998205873","-1.3283163919466","-1.3283163919466","-1.3283163919466","-0.267559045745421"
"AT4G28520","CRC","A","-1.07637162276021","-1.07637162276021","-1.07637162276021","-0.805183027155472","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-0.719783445866063","11.9339901912011","1.75300728485091","-0.0094634557247697","12.0883088150682","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","-1.07637162276021","0.44236662624222","-0.753321995195043","-1.07637162276021","-0.736457265423705","0.486711972727234"
"AT4G09695","","A","2.52029703825219","2.32933634154377","2.97211450157814","2.55809712215366","1.45737214913532","1.75269458234687","1.76090675425761","-0.108454388747363","1.38719086605123","3.42852437859172","2.78587357952384","2.50569227409981","1.4621353304392","0.18721001367498","2.00431512288376","2.01754947958583","1.02082159822846","1.89592315999029","-1.26814629219936","-1.53176453500188","-0.80454997938254","-5.25148325209249","0.447689769039639","-5.25148325209249","2.09598668462439","-5.01363375650714","1.3191332365139","2.32658448187859","-5.25148325209249","-5.25148325209249","-5.25148325209249","-5.25148325209249"
