"","","Cluster","SAMN06465201","SAMN06465179","SAMN06465197","SAMN06465194","SAMN06465190","SAMN06465187","SAMN06465183","SAMN06465181","SAMN06465177","SAMN06465174","SAMN06465172","SAMN06465170","SAMN06465168","SAMN06465165","SAMN06465163","SAMN06465160","SAMN06465157","SAMN06465155","SAMN06465152","SAMN06465150","SAMN06465148","SAMN06465146","SAMN06465144","SAMN06465142","SAMN06465276","SAMN06465275","SAMN06465273","SAMN06465272","SAMN06465270","SAMN06465269","SAMN06465268","SAMN06465267"
"AT5G44120","CRA1","A","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","11.2685735073303","1.02872745895992","-0.057143898989152","11.5005380187183","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835","-0.847881967357835"
"AT1G75830","PDF1.1","A","-1.42094651739507","-0.00816109417872468","-0.720895294986029","-1.14975792179033","-1.42094651739507","-1.42094651739507","2.5854466701126","-1.02268665750654","-1.42094651739507","1.27361677842853","-1.42094651739507","-0.778671343182555","9.29910950915937","3.33167597794177","4.98130386860357","10.1647991991437","-1.1167227346315","-1.42094651739507","-0.691066960780107","-1.42094651739507","-1.42094651739507","-1.42094651739507","-1.42094651739507","-1.42094651739507","-1.42094651739507","-1.42094651739507","-1.15778392099638","-1.42094651739507","-0.834115279621098","-1.42094651739507","-1.42094651739507","-1.42094651739507"
"AT4G24420","","A","-3.75435504651606","-3.11051695743189","-3.32721170572899","-2.6474635155708","-3.12184701601772","-3.42396320248219","-3.18622798271309","-4.17086688952884","2.25181035799553","3.61375041788835","2.96433168694207","3.05551842882686","2.72949812384952","3.06045086963924","3.23602998173563","3.14335583207199","-2.81118066902827","-2.54851652158945","-2.15795884213778","-2.5120421322524","-2.67561899615572","-2.48500548096264","-2.41382526255481","-2.01129961258577","2.78775323064494","2.84169146183946","2.88591898418221","3.08481681783379","2.63306896986694","2.82830738980055","2.67218546627953","2.56941181385982"
"AT5G09595","","A","0.7735549221478","3.25131694089325","1.06323034939278","0.490638889195463","-2.62233836696534","-2.62233836696534","-2.62233836696534","2.08449427980397","-2.62233836696534","5.06118246459832","4.33519797013378","2.80590947860839","4.66788606287529","-2.62233836696534","3.51406079141152","4.50002501436893","-2.62233836696534","-2.62233836696534","-2.62233836696534","-2.62233836696534","-0.00881191363327805","-2.62233836696534","-0.152857301771604","-2.62233836696534","2.58489020530716","-2.62233836696534","-2.62233836696534","1.64676609704061","-2.62233836696534","0.740554525787428","-2.62233836696534","1.9770367283203"
"AT5G54740","SESA5","A","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","0.631838972859359","-0.854848371244836","9.27962252974044","-0.0364394299239361","0.974943330094943","11.0809540474471","-0.854848371244836","-0.854848371244836","0.0115657290318811","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.854848371244836","-0.571275898128897"
"AT1G54870","","A","-0.547868992067486","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.804166342688664","0.335635440485141","-0.804166342688664","-0.405906482800126","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.447578165794516","9.73685417952456","-0.337690555396282","-0.804166342688664","10.4730226075575","-0.499942559925087","-0.804166342688664","-0.804166342688664","-0.804166342688664","0.189300410255572","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.804166342688664","-0.804166342688664"
"AT1G29090","","A","1.85865264747201","2.47564535503745","2.22085039902207","2.8995843128684","1.65265591137143","1.57207346123053","2.00959233930692","2.9417179746643","-2.39534179832234","4.13888215923703","3.26992449480072","-0.269448795965816","2.78246251546396","3.51558649824613","4.043786180037","4.33525955951771","-1.84000834931873","-2.39534179832234","-2.17547611116816","-2.39534179832234","-2.39534179832234","-2.39534179832234","-2.39534179832234","-1.89695537531023","-2.39534179832234","-2.39534179832234","-2.39534179832234","-2.39534179832234","-2.39534179832234","-2.39534179832234","-2.39534179832234","-2.39534179832234"
"AT4G12543","","A","-2.65586950687883","-2.65586950687883","-1.24146336630059","-2.15649215728263","-2.65586950687883","-2.65586950687883","-2.65586950687883","-2.65586950687883","4.1421670708265","1.5759567100537","2.77633066261496","3.71699799229482","1.16140735639708","2.45650722608277","1.71630952454691","1.54535703160226","-2.65586950687883","-2.10003762871103","-2.65586950687883","-2.14269307717397","-2.65586950687883","-2.65586950687883","-2.65586950687883","-2.65586950687883","2.92013822665838","4.0918500384493","2.46589277547743","2.9349332525544","2.60697119893645","2.02740757658147","1.40376316956407","1.96913049937367"
"AT4G16215","","A","-2.69528203748338","-2.69528203748338","-2.42243768339922","-2.69528203748338","-2.69528203748338","-2.69528203748338","-2.35144664687673","-2.69528203748338","2.17569603314302","3.66963126118799","2.63718800741366","1.97115107295421","1.93335244961311","2.61049648277121","2.20357402834431","2.38019930875964","-2.69528203748338","-2.13945015931558","-2.69528203748338","-2.41599556811632","-2.28350746350796","-2.24349397209534","-2.42470170289591","-1.82717574643","1.46992887815918","2.9568955413436","1.86616931431081","2.17101229421717","3.13676694248621","3.11914078129487","2.73912440447616","2.63013844202894"
"AT5G66400","RAB18","A","-0.382168875818036","-0.861362383085772","0.025397307109801","0.677420920936511","0.488082413174316","0.0902651540427057","0.755807298284102","-1.4975058335997","-0.243266382460871","-1.4975058335997","0.814399602332827","-0.616872848589321","9.04589051041176","-0.679096892278798","-0.706767765231015","9.38602697330149","-1.19328205083612","-1.4975058335997","-0.00648565182498517","-1.21821936423263","0.551445591492461","-1.04571776821165","-1.4975058335997","-1.4975058335997","-0.953641348116324","-1.05552617311983","-1.234343237201","-0.8563103356627","-0.172215752890393","-0.12691810632863","-1.4975058335997","-1.4975058335997"
"AT3G54940","RD19D","A","-1.09155355408779","-1.09155355408779","-0.818709200003635","-1.09155355408779","-0.101145375670276","-0.241683715576039","0.565175541195076","-1.09155355408779","-0.0154522370503716","0.518481083122311","0.865958442271312","-1.09155355408779","9.05077534400642","-0.625077766795407","0.40664530672251","9.6897620530366","-1.09155355408779","-1.09155355408779","-0.871687866933613","-1.09155355408779","-1.09155355408779","-0.45779543227704","-1.09155355408779","-1.09155355408779","-0.794143514764813","-1.09155355408779","-0.828390957689091","-0.28736667913323","-0.504722316313813","-0.552445424033807","-1.09155355408779","-0.80798108097185"
"AT2G40170","EM6","A","-1.05750908634592","-1.3138064369671","-1.3138064369671","-1.3138064369671","-0.323398258549588","-0.827175303021689","0.0728701279177986","-1.3138064369671","-0.237705119929684","0.296228200242998","-1.3138064369671","-0.957218260072954","9.0632925240739","-0.847330649674719","-0.24689826993166","9.58608001427894","-0.358481371264612","-0.544014363762412","-0.734746547937514","0.33509388543865","-0.445275410490654","0.281954525051102","-1.3138064369671","-0.815420013954993","-0.769941951483728","-0.390719773310843","0.271668757685656","-0.509619562012543","-1.3138064369671","-0.22113562198595","-1.3138064369671","-0.110146975222776"
"AT5G34871","","A","-2.65010189340482","-2.65010189340482","-2.37725753932066","-2.65010189340482","-2.65010189340482","-2.38636485311817","-2.30626650279817","-2.25184203351628","2.61316422764644","2.59579875572349","2.65631990630692","1.86533029491872","2.78134487762829","2.58432605063382","2.4152630694448","2.63910209920734","-2.34587811064124","-2.09427001523702","-2.23948908730563","-2.65010189340482","-2.65010189340482","-2.40659465778412","-2.65010189340482","-2.15171547039271","2.06045571545631","2.08490029813593","2.13723558690488","2.06045361214119","2.69520908976255","2.533375425279","2.79314115909318","2.59497135566485"
"AT5G12030","HSP17.7","A","-0.638316742010416","-1.30118578908509","-1.30118578908509","-1.30118578908509","-1.30118578908509","-0.451315950573342","-0.447287348913811","-1.30118578908509","-1.30118578908509","-0.549124687702218","-0.857059967837346","0.728916285280456","8.55678708779756","3.25475752994196","2.1390289439366","8.72824295127844","-0.74585234008148","-0.74535391091729","-1.30118578908509","-1.02189931971803","-0.569444423553995","-1.30118578908509","-1.30118578908509","-1.30118578908509","-1.30118578908509","-0.521350984323144","-0.452847066332403","0.47492847311303","0.403132448792327","-0.370525720070692","-1.30118578908509","-1.30118578908509"
"AT1G04560","","A","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.470367917139737","-0.823219899254469","1.13429209710463","-0.466631722360321","8.92231831769657","0.895034452255752","-0.823219899254469","9.36520346479984","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.602691102926846","-0.823219899254469","-0.823219899254469","0.338924494740367","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.182024401317471","-0.823219899254469","-0.823219899254469","-0.823219899254469","-0.823219899254469"
"AT5G40420","OLEO2","A","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","0.797791690887422","-0.741989431428828","-0.741989431428828","-0.741989431428828","0.138643553581549","8.86352857551374","0.0764195098920717","-0.741989431428828","9.5468086507583","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.471381120820059","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.741989431428828","-0.402075074092322","-0.741989431428828"
"AT3G22640","PAP85","A","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","9.08470742914985","-0.669061286237355","-0.220181861454868","9.43718346791177","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.0884509945877503","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.669061286237355","-0.148603312610406"
"AT3G27884","","A","-2.65292851566227","-1.88565512335056","-2.27415170261422","-2.48826675516008","-2.71506203262879","-2.96196937931016","-2.18806455365796","-4.14374514597795","1.84201578885378","1.78318122520102","1.40615294817819","2.99243337029545","1.49265544350063","1.63151014201473","1.85164188673284","2.013600494752","-1.79226184057","-2.03082137429886","-2.88349219813748","-2.14178431849204","-1.66986249982604","-1.52644437265094","-2.11506589176011","-1.39825815149328","2.83981158733344","3.34615574222483","3.05971785517184","3.21879193820284","1.76301433812928","2.5511895222134","2.56107516634869","2.51488640643776"
"AT4G12170","","A","-1.69200194380781","-0.181010766214448","-1.64773700984955","-1.65603889091039","-0.937518602791293","-3.1237428263767","-2.33535851189534","-2.67973778982123","2.0765386893005","2.11215756891523","2.16157676378258","2.81693290929478","1.64459593565925","1.91068076147512","2.41929174518887","2.41529126000477","-3.10251846924032","-3.23578517544163","-2.78030499883157","-2.67170028345428","-2.10044119554041","-2.39729001032692","-2.70762005475274","-3.34270269909897","2.35221302561712","3.21912236700659","2.89166564253881","3.1175993630487","1.43729857351866","2.08230079045971","2.0698132947431","1.86443053779981"
"AT5G50600","HSD1","A","-1.59716078003729","-0.0876016319841892","-1.59716078003729","-1.32597218443255","-0.798023508765049","2.63948699626823","0.388480559584125","-0.887133869251889","-1.59716078003729","0.0128738571728104","-1.59716078003729","-1.59716078003729","7.85580185864408","-1.13068499274491","-0.806422711668607","8.75426300087937","-0.329011048246383","0.0421047725251369","1.08824796508476","-1.59716078003729","0.936317046832255","0.979219607968349","0.97597892232628","-0.574557317188103","-0.496397648708502","-1.59716078003729","-1.59716078003729","-1.59716078003729","-1.01032954226331","0.206854250336574","-0.982344555622514","-1.07670280641034"
"AT4G13505","","A","2.59460114684292","-2.76960007656479","3.70210149712704","3.13915561847417","-2.64461745672336","1.80768926196","2.67572888963637","-3.22319250068731","-3.22319250068731","4.05877066886101","2.74590512113298","-2.58091732647479","1.98687256097137","-1.20390319661105","2.23845381325908","-0.458025138330951","0.421004342861625","1.95676440872547","1.84701566244645","-2.71001607098245","-2.00826906727916","-0.836672546309015","0.923277859360355","-0.865266922748118","2.94613580286049","-2.30010583703105","-2.54483218281968","-2.13964414149819","1.0489026841521","-2.68408437063333","-0.239931098091011","-1.66010890519987"
"AT1G73190","TIP3-1","A","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.00552317033181016","8.52115948067079","-0.647798344544328","0.142939723824354","9.2330164656619","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.40103719712836","-0.647798344544328","-0.647798344544328","-0.647798344544328","-0.647798344544328"
"AT3G22500","ECP31","A","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","0.407405064404449","-0.6501966593112","8.63593832381629","-0.6501966593112","0.140541409057483","9.02162166343536","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112","-0.6501966593112"
"AT1G55335","","A","-1.13441964756779","-1.13441964756779","3.73907361768296","-1.13441964756779","-1.13441964756779","4.50778044136022","-1.13441964756779","-1.13441964756779","2.98226788605349","6.94545821411073","-1.13441964756779","-1.13441964756779","5.77854884388242","-1.13441964756779","2.61074318367962","1.7966190024254","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779","-1.13441964756779"
"AT3G17520","","A","-1.0424180992644","-0.588825675141878","-1.0424180992644","0.365974944594842","1.52652241924757","-1.0424180992644","0.344258465620498","-1.0424180992644","-1.0424180992644","-0.290356997881528","1.86231857756425","0.524523766816072","8.24655136127274","-0.57594231197202","-1.0424180992644","8.3952901501359","-1.0424180992644","-1.0424180992644","-1.0424180992644","-1.0424180992644","0.17250533414375","-1.0424180992644","-1.0424180992644","-1.0424180992644","-0.745008059941426","-0.804568603679057","-1.0424180992644","-0.795656951848434","-0.455586861490427","-0.50330996921042","-1.0424180992644","-1.0424180992644"
"AT5G35660","","A","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","0.650839484490196","-0.637198900598945","8.46886101375962","-0.637198900598945","-0.637198900598945","9.01915326178309","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.637198900598945","-0.297284543262439","-0.637198900598945"
"AT5G43370","PHT1-2","A","-0.604702771597429","-2.15933896341734","-0.390812463347684","-1.75628598558705","-1.59387494752063","-2.25878381331959","-0.743317781568465","-0.732218987896574","1.73253685176717","2.93042641713852","2.66233098302134","2.82059938739931","1.73138680142735","2.33688160242985","2.56108201332708","2.29321310274689","-3.37705732891164","-2.6931168420517","-2.84136221283942","-2.68348207220838","-3.01829775400988","-2.73662143259593","-2.7174701387281","-3.46427610356075","2.4516317307092","2.13758843942836","1.32372315318021","2.0178571584926","1.73922235375593","1.96594935356866","1.88345308397835","1.18313716678974"
"AT1G50290","","A","-1.26718707706837","-1.4943965541009","-1.63807939493902","-1.57294642393381","-1.69191774844721","-2.03354101692737","-2.1251825060243","-2.09259371441044","1.50184059879787","2.49483032076774","1.85057583125458","2.32156356693239","3.4452844512022","1.3497224633314","1.7266518928197","4.34349454374547","-2.12756817958993","-2.45725857466047","-2.81351407220138","-2.05832036161503","-2.7496608928737","-2.28910406533551","-3.30818254700373","-2.75784316208396","1.88109529704055","1.94124743999012","1.98984035781436","2.22435265378877","1.70764323213169","2.02910533619619","1.98880092873979","1.68124737666233"
"AT3G51810","EM1","A","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","8.41460931564161","-0.652352055963647","0.414556111071794","8.82696921016935","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","0.0793893095674507","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.405590908547679","-0.652352055963647","-0.652352055963647","-0.652352055963647","-0.368779582847708"
"AT5G15420","","A","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","2.41624684801682","2.28799540075406","2.62409577357976","2.25773954887789","2.89130429447007","2.87865775610491","2.6413213090653","2.30903733655227","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","-2.18514951111535","1.92374885582539","1.53599152201428","1.37626926467339","1.40051972851754","2.24645427288545","2.03749156183276","2.00619952353061","2.12931918114515"
"AT1G03106","","A","-0.00660701911779782","-0.652662802551605","-1.5958669615332","-1.29520523765879","-1.2475236033429","-0.363178556105357","-0.220796282238245","-0.462096050880584","0.288425967975575","0.978902117856974","-0.303158056058074","0.964003907136357","7.43772551567494","0.621571291998949","-0.28737177221086","8.30294210734945","-0.89278359145394","-1.76323475566851","-1.67795821396871","-1.96486980357921","-1.41231130709691","-1.3578466619837","-2.53446797566963","-0.78005974700696","-0.194341459983025","0.65003037940865","-0.231891755360111","0.521320674211687","-0.310096077038861","-0.172625084199293","-0.280695412504108","0.242726225597792"
"AT1G17810","TIP3-2","A","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.274108274062841","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","8.00805896931286","-0.205892346658997","1.00113302264953","8.75496354836688","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.672368133951379","-0.409205537552682","-0.672368133951379","-0.349318506386212","-0.672368133951379","-0.672368133951379","-0.38879566083544"
"AT5G27010","","A","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","2.04251850874352","0.413874925370966","0.979808161910957","1.73435451230693","2.75031639665939","1.79923490576799","2.3744845228436","2.70496366715769","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","-2.11953409026191","1.51817013856373","2.79766235047137","2.47813825710525","2.39302273995025","2.57234837145903","2.45821101732437","2.09264426498243","2.80279270357308"
"AT2G08000","","A","0.015728388111512","-3.24037813521186","-2.73817487024198","-3.24037813521186","-0.35015411696404","-0.974009259277034","0.10307040309453","-3.24037813521186","1.37739237444763","0.566950763459915","3.0805974721256","2.78664977755561","2.90072286238025","2.05140977980427","1.13180089621387","2.9007935096064","-3.24037813521186","-3.24037813521186","-0.033850896538433","-1.24387253177955","-1.44236550558011","0.303649272952943","-3.24037813521186","-3.24037813521186","2.42944504331172","1.20528856562116","0.946215142087718","2.56773399386283","0.572176545598911","0.775581213974225","2.22037740277914","1.52949071987594"
